year,week,song,type,level
2018,49,bring me the sheriff,cowboy chords,3
2018,49,life on horseback,cowboy chords,4
2018,49,bring me the sheriff,fingerpicking,7
2018,49,life on horseback,rhythm & lead,9
2018,48,vulkanik,basic riff,1
2018,48,ladimagia,cowboy chords,4
2018,48,vulkanik,rhythm,7
2018,48,ladimagia,fingerpicking,7
2018,47,light the spark,basic riff,2
2018,47,worry free,cowboy chords,4
2018,47,light the spark,fast strumming,6
2018,47,worry free,melody,7
2018,46,buenos aires,basic riff,2
2018,46,anhelo,cowboy chords,4
2018,46,anhelo,fingerpicking,7
2018,46,buenos aires,rhythm & melody,8