year,week,song,author,type,level
2018,50,o little town of betlehem,lewis redner,basic riff,2
2018,50,away in a manger,traditional,cowboy chords,4
2018,50,away in a manger,traditional,fingerpicking,7
2018,50,o little town of betlehem,lewis redner,rhythm,9
2018,49,bring me the sheriff,the yousicians,cowboy chords,3
2018,49,life on horseback,the yousicians,cowboy chords,4
2018,49,bring me the sheriff,the yousicians,fingerpicking,7
2018,49,life on horseback,the yousicians,rhythm & lead,9
2018,48,vulkanik,the yousicians,basic riff,1
2018,48,ladimagia,the yousicians,cowboy chords,4
2018,48,vulkanik,the yousicians,rhythm,7
2018,48,ladimagia,the yousicians,fingerpicking,7
2018,47,light the spark,the yousicians,basic riff,2
2018,47,worry free,the yousicians,cowboy chords,4
2018,47,light the spark,the yousicians,fast strumming,6
2018,47,worry free,the yousicians,melody,7
2018,46,buenos aires,the yousicians,basic riff,2
2018,46,anhelo,the yousicians,cowboy chords,4
2018,46,anhelo,the yousicians,fingerpicking,7
2018,46,buenos aires,the yousicians,rhythm & melody,8
2018,45,the excalibur,the yousicians,basic riff,2
2018,45,waltz into the night,the yousicians,melody,4
2018,45,waltz into the night,the yousicians,fancy chords,6
2018,45,the excalibur,the yousicians,rhythm & lead,9